feature,importance
neighbourhood_cleansedIndex,0.11656916183385721
bedrooms,0.10495047797878337
accommodates,0.08920809237117744
cancellation_policyIndex,0.07760815548443352
minimum_nights,0.0700846121716999
beds,0.06777730056518438
latitude,0.06467185054756443
number_of_reviews,0.056477744966177044
bathrooms,0.04798257122549751
property_typeIndex,0.045525050260503984
longitude,0.03685056586801728
review_scores_value,0.03623695104360295
review_scores_rating,0.031286087830188575
host_total_listings_count,0.026555333557319073
instant_bookableIndex,0.022808895350887898
room_typeIndex,0.019080702017719116
review_scores_location,0.01584761201120677
host_is_superhostIndex,0.015110494689716205
review_scores_accuracy_na,0.009763288272679698
review_scores_cleanliness_na,0.007427325776854367
review_scores_checkin_na,0.007234987783784017
review_scores_value_na,0.005797900971472369
review_scores_rating_na,0.005630110269915059
review_scores_accuracy,0.004804367192549879
review_scores_communication_na,0.0040497332781548314
review_scores_cleanliness,0.0032213715508594538
review_scores_communication,0.00283617263956156
review_scores_location_na,0.0028351345104228294
review_scores_checkin,0.0015878848391765322
bed_typeIndex,0.00013827006922286465
bedrooms_na,3.447215523074801e-05
bathrooms_na,6.7075388095472004e-06
beds_na,6.133777697068881e-07
